?R?Start
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  25

----------------------------------------------------------------------------------err-9.13537 -- winrate -9.13537
  output_wert -->  0 = 0.27344    -  1 = 0.15880    -  2 = 0.03560    -  3 = 0.24860    -  4 = 0.45583    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  1

  output_wert -->  0 = 0.18882    -  1 = 0.21550    -  2 = 0.18913    -  3 = 0.19255    -  4 = 0.13338    -   out -> 1
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  2

  output_wert -->  0 = 0.17641    -  1 = 0.22675    -  2 = 0.24166    -  3 = 0.18387    -  4 = 0.10338    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  3

  output_wert -->  0 = 0.22747    -  1 = 0.18657    -  2 = 0.08707    -  3 = 0.21848    -  4 = 0.25976    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  4

  output_wert -->  0 = 0.34051    -  1 = 0.12799    -  2 = 0.01070    -  3 = 0.29024    -  4 = 0.71851    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  5

  output_wert -->  0 = 0.24946    -  1 = 0.17232    -  2 = 0.05620    -  3 = 0.23323    -  4 = 0.35086    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  6

  output_wert -->  0 = 0.18022    -  1 = 0.22299    -  2 = 0.22445    -  3 = 0.18657    -  4 = 0.11198    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  7

  output_wert -->  0 = 0.10510    -  1 = 0.31531    -  2 = 0.75306    -  3 = 0.13014    -  4 = 0.01404    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  8

  output_wert -->  0 = 0.22737    -  1 = 0.18660    -  2 = 0.08717    -  3 = 0.21840    -  4 = 0.25926    -   out -> 4
